6;5-9;0-9;0-19;*
18;15-19;10-19;0-19;*
22;20-24;20-29;20-39;*
26;25-29;20-29;20-39;*
50;50-54;50-59;40-59;*
19;15-19;10-19;0-19;*
13;10-14;10-19;0-19;*
1;0-4;0-9;0-19;*
33;30-34;30-39;20-39;*
62;60-64;60-69;60-79;*
41;40-44;40-49;40-59;*
49;45-49;40-49;40-59;*
15;15-19;10-19;0-19;*
5;5-9;0-9;0-19;*
51;50-54;50-59;40-59;*
17;15-19;10-19;0-19;*
3;0-4;0-9;0-19;*
35;35-39;30-39;20-39;*
43;40-44;40-49;40-59;*
56;55-59;50-59;40-59;*
8;5-9;0-9;0-19;*
28;25-29;20-29;20-39;*
14;10-14;10-19;0-19;*
64;60-64;60-69;60-79;*
75;75-79;70-79;60-79;*
11;10-14;10-19;0-19;*
9;5-9;0-9;0-19;*
39;35-39;30-39;20-39;*
67;65-69;60-69;60-79;*
7;5-9;0-9;0-19;*
65;65-69;60-69;60-79;*
30;30-34;30-39;20-39;*
63;60-64;60-69;60-79;*
12;10-14;10-19;0-19;*
23;20-24;20-29;20-39;*
100;95-99;90-99;80-99;*
29;25-29;20-29;20-39;*
54;50-54;50-59;40-59;*
2;0-4;0-9;0-19;*
36;35-39;30-39;20-39;*
24;20-24;20-29;20-39;*
4;0-4;0-9;0-19;*
31;30-34;30-39;20-39;*
32;30-34;30-39;20-39;*
10;10-14;10-19;0-19;*
53;50-54;50-59;40-59;*
27;25-29;20-29;20-39;*
71;70-74;70-79;60-79;*
94;90-94;90-99;80-99;*
59;55-59;50-59;40-59;*
25;25-29;20-29;20-39;*
47;45-49;40-49;40-59;*
57;55-59;50-59;40-59;*
42;40-44;40-49;40-59;*
68;65-69;60-69;60-79;*
16;15-19;10-19;0-19;*
58;55-59;50-59;40-59;*
66;65-69;60-69;60-79;*
20;20-24;20-29;20-39;*
38;35-39;30-39;20-39;*
81;80-84;80-89;80-99;*
73;70-74;70-79;60-79;*
80;80-84;80-89;80-99;*
44;40-44;40-49;40-59;*
61;60-64;60-69;60-79;*
21;20-24;20-29;20-39;*
69;65-69;60-69;60-79;*
46;45-49;40-49;40-59;*
52;50-54;50-59;40-59;*
34;30-34;30-39;20-39;*
40;40-44;40-49;40-59;*
48;45-49;40-49;40-59;*
45;45-49;40-49;40-59;*
37;35-39;30-39;20-39;*
60;60-64;60-69;60-79;*
76;75-79;70-79;60-79;*
83;80-84;80-89;80-99;*
85;85-89;80-89;80-99;*
70;70-74;70-79;60-79;*
77;75-79;70-79;60-79;*
78;75-79;70-79;60-79;*
95;95-99;90-99;80-99;*
55;55-59;50-59;40-59;*
74;70-74;70-79;60-79;*
