Haiti;Caribbean;*
Japan;East Asia;*
Italy;Southern Europe;*
India;Asia;*
Iran;Asia;*
Cambodia;Asia;*
Poland;Europe;*
United-States;North America;*
Hungary;Europe;*
Taiwan;Asia;*
Thailand;Asia;*
Columbia;Sud America;*
Scotland;Europe;*
Dominican-Republic;Caribbean;*
Ecuador;South America;*
Philippines;Southeast Asia;*
Greece;Southern Europe;*
Yugoslavia;Southern Europe;*
Portugal;Europa;*
Jamaica;America Centrale;*
Canada;America del Nord;*
Honduras;America Centrale;*
El-Salvador;America Centrale;*
Nicaragua;America Centrale;*
South;America;*
Trinadad&Tobago;America;*
China;Asia;*
Holand-Netherlands;Europa;*
Outlying-US(Guam-USVI-etc);Oceano Pacifico;*
Ireland;Europa;*
Cuba;America;*
Germany;Europa;*
Peru;America;*
France;Europe;*
Puerto-Rico;North America;*
Hong;Asia;*
England;Europe;*
Mexico;North America;*
Vietnam;Asia;*
