Thailand;Asia;*
Italy;Europa;*
Germany;Europa;*
Honduras;America Centrale;*
Iran;Medio Oriente;*
Guatemala;America Centrale;*
England;Europe;*
United-States;North-America;*
Holand-Netherlands;Europe;*
Canada;Nord America;*
Jamaica;Caraibi;*
Haiti;Caraibi;*
Laos;Sud-est asiatico;*
Ireland;Europa occidentale;*
Ecuador;America meridionale;*
Portugal;Europa;*
India;Asia;*
Mexico;America;*
Hungary;Europa;*
El-Salvador;America;*
Cambodia;Asia;*
Poland;Eastern Europe;*
Scotland;Northern Europe;*
Yugoslavia;Southern Europe;*
Taiwan;Asia;*
France;Europa;*
Columbia;Sud America;*
Philippines;Asia;*
Hong;Asia;*
Outlying-US(Guam-USVI-etc);North America;*
Peru;South America;*
South;South America;*
Nicaragua;Central America;*
Cuba;Caraibi;*
Puerto-Rico;Caraibi;*
Dominican-Republic;Caraibi;*
Greece;Europe;*
Japan;Asia;*
China;Asia;*
Vietnam;Asia;*
Trinadad&Tobago;America;*
